Time [s],PID,Address,Endpoint,Frame #,Data,CRC
0.0809525800,IN,0x3C,0x00,,,0x06
0.0809793800,NAK,,,,,
0.0810210900,IN,0x3C,0x00,,,0x06
0.0810478800,NAK,,,,,
0.0810892900,IN,0x3C,0x00,,,0x06
0.0811162200,DATA1,,,,0x1C 0x03 0x77 0x00 0x77 0x00 0x77 0x00,0x6EBB
0.0811841200,ACK,,,,,
0.0812061500,IN,0x3C,0x00,,,0x06
0.0812330500,NAK,,,,,
0.0813643100,IN,0x3C,0x00,,,0x06
0.0813912200,DATA0,,,,0x2E 0x00 0x66 0x00 0x69 0x00 0x73 0x00,0x0A0D
0.0814591200,ACK,,,,,
0.0814731900,IN,0x3C,0x00,,,0x06
0.0815000600,NAK,,,,,
0.0815532600,IN,0x3C,0x00,,,0x06
0.0815801400,NAK,,,,,
0.0816214600,IN,0x3C,0x00,,,0x06
0.0816484800,DATA1,,,,0x63 0x00 0x68 0x00 0x6C 0x00 0x2E 0x00,0xD1F1
0.0817163800,ACK,,,,,
0.0817481200,IN,0x3C,0x00,,,0x06
0.0817749800,NAK,,,,,
0.0818167100,IN,0x3C,0x00,,,0x06
0.0818437300,DATA0,,,,0x64 0x00 0x65 0x00,0xBBCB
0.0818903000,ACK,,,,,
0.0819132000,OUT,0x3C,0x00,,,0x06
0.0819379200,DATA1,,,,,0x0000
0.0819643200,ACK,,,,,
0.0820871900,SETUP,0x3C,0x00,,,0x06
0.0821119300,DATA0,,,,0x80 0x06 0x00 0x03 0x00 0x00 0x04 0x00,0x5497
0.0821817400,ACK,,,,,
0.0823644100,IN,0x3C,0x00,,,0x06
0.0823913300,DATA1,,,,0x04 0x03 0x09 0x04,0x7809
0.0824379000,ACK,,,,,
0.0824661000,OUT,0x3C,0x00,,,0x06
0.0824908200,DATA1,,,,,0x0000
0.0825171600,ACK,,,,,
0.0826220300,SETUP,0x3C,0x00,,,0x06
0.0826467600,DATA0,,,,0x80 0x06 0x02 0x03 0x09 0x04 0xFF 0x00,0xDB97
0.0827171700,ACK,,,,,
0.0827589400,IN,0x3C,0x00,,,0x06
0.0827857500,NAK,,,,,
0.0828514100,IN,0x3C,0x00,,,0x06
0.0828783400,DATA1,,,,0x0E 0x03 0x55 0x00 0x53 0x00 0x42 0x00,0x9920
0.0829462300,ACK,,,,,
0.0829603000,IN,0x3C,0x00,,,0x06
0.0829871700,NAK,,,,,
0.0830534200,IN,0x3C,0x00,,,0x06
0.0830803400,DATA0,,,,0x61 0x00 0x73 0x00 0x70 0x00,0xD1C8
0.0831375800,ACK,,,,,
0.0831589100,OUT,0x3C,0x00,,,0x06
0.0831836300,DATA1,,,,,0x0000
0.0832100100,ACK,,,,,
0.0949981900,SETUP,0x3C,0x00,,,0x06
0.0950229100,DATA0,,,,0x80 0x06 0x00 0x03 0x00 0x00 0xFE 0x01,0x3414
0.0950933200,ACK,,,,,
0.0951241800,IN,0x3C,0x00,,,0x06
0.0951509900,NAK,,,,,
0.0952025200,IN,0x3C,0x00,,,0x06
0.0952294900,DATA1,,,,0x04 0x03 0x09 0x04,0x7809
0.0952760600,ACK,,,,,
0.0954062800,OUT,0x3C,0x00,,,0x06
0.0954310000,DATA1,,,,,0x0000
0.0954573300,ACK,,,,,
0.0958518600,SETUP,0x3C,0x00,,,0x06
0.0958766000,DATA0,,,,0x80 0x06 0x01 0x03 0x09 0x04 0xFE 0x01,0xB857
0.0959470900,ACK,,,,,
0.0959872400,IN,0x3C,0x00,,,0x06
0.0960140900,NAK,,,,,
0.0960655700,IN,0x3C,0x00,,,0x06
0.0960924300,NAK,,,,,
0.0961576500,IN,0x3C,0x00,,,0x06
0.0961845900,DATA1,,,,0x1C 0x03 0x77 0x00 0x77 0x00 0x77 0x00,0x6EBB
0.0962525000,ACK,,,,,
0.0963656900,IN,0x3C,0x00,,,0x06
0.0963926000,DATA0,,,,0x2E 0x00 0x66 0x00 0x69 0x00 0x73 0x00,0x0A0D
0.0964605000,ACK,,,,,
0.0964873200,IN,0x3C,0x00,,,0x06
0.0965141000,NAK,,,,,
0.0965547400,IN,0x3C,0x00,,,0x06
0.0965816000,NAK,,,,,
0.0966557100,IN,0x3C,0x00,,,0x06
0.0966826900,DATA1,,,,0x63 0x00 0x68 0x00 0x6C 0x00 0x2E 0x00,0xD1F1
0.0967505900,ACK,,,,,
0.0967646500,IN,0x3C,0x00,,,0x06
0.0967915200,NAK,,,,,
0.0968506900,IN,0x3C,0x00,,,0x06
0.0968776900,DATA0,,,,0x64 0x00 0x65 0x00,0xBBCB
0.0969242600,ACK,,,,,
0.0969494200,OUT,0x3C,0x00,,,0x06
0.0969741300,DATA1,,,,,0x0000
0.0970005300,ACK,,,,,
0.0973745100,SETUP,0x3C,0x00,,,0x06
0.0973992300,DATA0,,,,0x80 0x06 0x02 0x03 0x09 0x04 0xFE 0x01,0x8B57
0.0974697000,ACK,,,,,
0.0974993700,IN,0x3C,0x00,,,0x06
0.0975262000,NAK,,,,,
0.0975777400,IN,0x3C,0x00,,,0x06
0.0976045400,NAK,,,,,
0.0976557500,IN,0x3C,0x00,,,0x06
0.0976827100,DATA1,,,,0x0E 0x03 0x55 0x00 0x53 0x00 0x42 0x00,0x9920
0.0977506000,ACK,,,,,
0.0977646700,IN,0x3C,0x00,,,0x06
0.0977915400,NAK,,,,,
0.0978417600,IN,0x3C,0x00,,,0x06
0.0978686300,NAK,,,,,
0.0979267600,IN,0x3C,0x00,,,0x06
0.0979537100,DATA0,,,,0x61 0x00 0x73 0x00 0x70 0x00,0xD1C8
0.0980109500,ACK,,,,,
0.0980333500,OUT,0x3C,0x00,,,0x06
0.0980580700,DATA1,,,,,0x0000
0.0980844600,ACK,,,,,
